DocID,Sense,Connector,Arg1Arg2,Arg1,Arg2
wsj_2331,0.4102564103,0.7741935484,0.4303797468,0.5063291139,0.4810126582
wsj_2380,0.0,1.0,0.0384615385,0.0384615385,0.0384615385
wsj_2337,0.4285714286,0.9714285714,0.3902439024,0.4146341463,0.4634146341
wsj_2344,0.1538461538,0.9090909091,0.3448275862,0.4827586207,0.4137931034
wsj_2375,0.0,0.0,0.375,0.375,0.375
wsj_2371,0.5,1.0,1.0,1.0,1.0
wsj_2305,0.0,1.0,0.5,0.5,0.5
wsj_2364,0.0,0.0,0.4,0.4,0.4
wsj_2330,0.3913043478,0.8108108108,0.4897959184,0.4489795918,0.5510204082
wsj_2360,0.4375,0.9230769231,0.4516129032,0.5161290323,0.5483870968
wsj_2376,0.2765957447,0.8421052632,0.3184079602,0.2985074627,0.447761194
wsj_2316,0.2857142857,0.9333333333,0.2608695652,0.3043478261,0.4347826087
wsj_2335,0.0,1.0,0.5,0.5,0.5
wsj_2372,0.2222222222,0.9756097561,0.2521008403,0.3697478992,0.4369747899
wsj_2336,0.5714285714,1.0,0.7142857143,0.5714285714,0.7142857143
wsj_2317,0.5714285714,1.0,0.3333333333,0.4166666667,0.3333333333
wsj_2308,0.3043478261,0.9333333333,0.3870967742,0.4086021505,0.5376344086
wsj_2347,0.4545454545,0.9,0.3513513514,0.3243243243,0.4324324324
wsj_2377,0.2181818182,0.7755102041,0.435483871,0.4032258065,0.5806451613
wsj_2358,0.3703703704,0.875,0.3300970874,0.2718446602,0.4077669903
wsj_2339,0.1818181818,0.4,0.303030303,0.4242424242,0.4242424242
wsj_2343,0.0555555556,0.7096774194,0.3456790123,0.4444444444,0.5185185185
wsj_2310,1.0,1.0,0.6666666667,0.6666666667,0.6666666667
wsj_2374,0.0,1.0,1.0,1.0,1.0
wsj_2319,0.0,1.0,0.0,0.0,0.0
wsj_2391,0.2857142857,0.8,0.4444444444,0.5555555556,0.4444444444
wsj_2373,0.0,0.8888888889,0.1666666667,0.25,0.4166666667
wsj_2398,0.2222222222,0.7096774194,0.4578313253,0.4578313253,0.5060240964
wsj_2361,0.3333333333,0.8461538462,0.3652173913,0.5043478261,0.4695652174
wsj_2338,0.1538461538,0.7272727273,0.3448275862,0.4827586207,0.5172413793
wsj_2314,0.1578947368,0.9315068493,0.3209876543,0.4197530864,0.4197530864
wsj_2333,0.0,1.0,1.0,1.0,1.0
wsj_2387,0.4179104478,0.9285714286,0.4,0.5,0.4833333333
wsj_2313,0.3076923077,0.8333333333,0.3076923077,0.3846153846,0.4615384615
wsj_2345,0.380952381,0.8571428571,0.4,0.45,0.6
wsj_2320,0.2926829268,0.9166666667,0.35,0.35,0.6
wsj_2302,0.0,1.0,0.4,0.8,0.8
wsj_2321,0.3783783784,0.9230769231,0.5588235294,0.6176470588,0.7058823529
wsj_2323,0.0,1.0,0.6666666667,0.6666666667,0.6666666667
wsj_2353,0.3333333333,0.5,0.4285714286,0.4285714286,0.4285714286
wsj_2381,0.3333333333,0.9056603774,0.3333333333,0.3518518519,0.4259259259
wsj_2300,0.1363636364,0.0879120879,0.2577319588,0.3092783505,0.2989690722
wsj_2386,0.28125,0.8852459016,0.3225806452,0.3870967742,0.4838709677
wsj_2346,0.2051282051,0.8484848485,0.2823529412,0.4705882353,0.4
wsj_2351,0.2388059701,0.8727272727,0.40625,0.515625,0.515625
wsj_2315,0.3636363636,0.6666666667,0.16,0.16,0.32
wsj_2359,0.0,0.8333333333,0.2608695652,0.2608695652,0.5217391304
wsj_2340,0.2222222222,0.6666666667,0.5555555556,0.5555555556,0.6666666667
wsj_2382,0.0,0.6666666667,0.4615384615,0.6153846154,0.6153846154
wsj_2324,0.0,1.0,0.2857142857,0.2857142857,0.2857142857
wsj_2301,0.0,0.0,0.0,0.0,0.4
wsj_2367,0.0,0.8571428571,0.2857142857,0.3333333333,0.4761904762
wsj_2334,0.5,0.4,0.4444444444,0.4444444444,0.4444444444
wsj_2365,0.3921568627,0.9230769231,0.4693877551,0.5918367347,0.4489795918
wsj_2306,0.328358209,0.8727272727,0.4615384615,0.4307692308,0.5846153846
wsj_2326,0.1333333333,0.8571428571,0.3529411765,0.4117647059,0.4705882353
wsj_2327,0.0,1.0,0.3333333333,0.2222222222,0.5555555556
wsj_2363,0.2,0.9090909091,0.1818181818,0.2727272727,0.4545454545
wsj_2384,0.2745098039,0.7843137255,0.2201834862,0.3302752294,0.3486238532
